epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,2695.67,0.78777,0.49473,0.9594,0.93796,0.99737,0.98313,0.70708,1.00846,0.6356,1.09118,0.000365687,0.000365687,0.000365687
70,2733.66,0.74985,0.44292,0.94201,0.94455,0.99289,0.98635,0.72828,0.9913,0.6045,1.07422,0.000358815,0.000358815,0.000358815
71,2771.87,0.72223,0.45683,0.93469,0.94455,0.99289,0.98635,0.72828,0.9913,0.6045,1.07422,0.000351942,0.000351942,0.000351942
72,2811.21,0.69563,0.46296,0.93582,0.94455,0.99289,0.98635,0.72828,0.9913,0.6045,1.07422,0.00034507,0.00034507,0.00034507
73,2850.48,0.71916,0.45141,0.98102,0.94455,0.99289,0.98635,0.72828,0.9913,0.6045,1.07422,0.000338198,0.000338198,0.000338198
74,2890.06,0.73378,0.46601,0.9761,0.93419,0.99062,0.98385,0.71437,1.06762,0.57372,1.12475,0.000331326,0.000331326,0.000331326
75,2929.16,0.77255,0.46417,0.98442,0.93419,0.99062,0.98385,0.71437,1.06762,0.57372,1.12475,0.000324453,0.000324453,0.000324453
76,2968.44,0.7752,0.47479,0.97667,0.93419,0.99062,0.98385,0.71437,1.06762,0.57372,1.12475,0.000317581,0.000317581,0.000317581
77,3007.6,0.74574,0.42736,0.9358,0.93419,0.99062,0.98385,0.71437,1.06762,0.57372,1.12475,0.000310709,0.000310709,0.000310709
78,3047.6,0.71258,0.45817,0.96347,0.93408,0.96016,0.98144,0.71001,1.04561,0.55603,1.11885,0.000303837,0.000303837,0.000303837
79,3086.68,0.72759,0.47063,0.95683,0.93408,0.96016,0.98144,0.71001,1.04561,0.55603,1.11885,0.000296964,0.000296964,0.000296964
80,3125.98,0.69024,0.44299,0.91635,0.93408,0.96016,0.98144,0.71001,1.04561,0.55603,1.11885,0.000290092,0.000290092,0.000290092
81,3165.16,0.67812,0.41347,0.96366,0.93408,0.96016,0.98144,0.71001,1.04561,0.55603,1.11885,0.00028322,0.00028322,0.00028322
82,3204.42,0.68973,0.4198,0.91543,0.91552,0.98148,0.9799,0.72355,0.99645,0.54402,1.10541,0.000276348,0.000276348,0.000276348
83,3243.42,0.63966,0.42345,0.92679,0.91552,0.98148,0.9799,0.72355,0.99645,0.54402,1.10541,0.000269475,0.000269475,0.000269475
84,3282.48,0.71039,0.45195,1.00447,0.91552,0.98148,0.9799,0.72355,0.99645,0.54402,1.10541,0.000262603,0.000262603,0.000262603
85,3321.87,0.64302,0.44859,0.92022,0.91552,0.98148,0.9799,0.72355,0.99645,0.54402,1.10541,0.000255731,0.000255731,0.000255731
86,3361.75,0.6281,0.40381,0.8932,0.93531,0.9858,0.9799,0.72761,0.96676,0.53137,1.09,0.000248859,0.000248859,0.000248859
87,3400.98,0.60346,0.39043,0.90366,0.93531,0.9858,0.9799,0.72761,0.96676,0.53137,1.09,0.000241986,0.000241986,0.000241986
88,3440.06,0.64174,0.41308,0.93663,0.93531,0.9858,0.9799,0.72761,0.96676,0.53137,1.09,0.000235114,0.000235114,0.000235114
89,3479.29,0.65093,0.39152,0.90368,0.93531,0.9858,0.9799,0.72761,0.96676,0.53137,1.09,0.000228242,0.000228242,0.000228242
90,3518.36,0.65954,0.41862,0.96881,0.9183,0.98688,0.96557,0.72605,0.97077,0.54615,1.09646,0.00022137,0.00022137,0.00022137
91,3557.69,0.6089,0.37175,0.89749,0.9183,0.98688,0.96557,0.72605,0.97077,0.54615,1.09646,0.000214497,0.000214497,0.000214497
92,3596.74,0.63853,0.48681,0.96037,0.9183,0.98688,0.96557,0.72605,0.97077,0.54615,1.09646,0.000207625,0.000207625,0.000207625
93,3637.23,0.56499,0.38909,0.90949,0.9183,0.98688,0.96557,0.72605,0.97077,0.54615,1.09646,0.000200753,0.000200753,0.000200753
94,3676.94,0.6583,0.39688,0.96547,0.93546,0.98657,0.96876,0.71278,1.00993,0.53333,1.123,0.000193881,0.000193881,0.000193881
95,3716.05,0.60304,0.36667,0.9099,0.93546,0.98657,0.96876,0.71278,1.00993,0.53333,1.123,0.000187008,0.000187008,0.000187008
96,3755.15,0.65596,0.39037,0.93213,0.93546,0.98657,0.96876,0.71278,1.00993,0.53333,1.123,0.000180136,0.000180136,0.000180136
97,3794.8,0.5933,0.37452,0.92022,0.93546,0.98657,0.96876,0.71278,1.00993,0.53333,1.123,0.000173264,0.000173264,0.000173264
98,3834.03,0.64256,0.4187,0.93872,0.95189,0.99667,0.98471,0.71532,1.03126,0.51958,1.13488,0.000166392,0.000166392,0.000166392
99,3873.1,0.60824,0.37553,0.89784,0.95189,0.99667,0.98471,0.71532,1.03126,0.51958,1.13488,0.00015952,0.00015952,0.00015952
100,3912.23,0.58189,0.37403,0.91992,0.95189,0.99667,0.98471,0.71532,1.03126,0.51958,1.13488,0.000152647,0.000152647,0.000152647
101,3951.84,0.60144,0.38032,0.90199,0.95189,0.99667,0.98471,0.71532,1.03126,0.51958,1.13488,0.000145775,0.000145775,0.000145775
102,3991.49,0.59992,0.36837,0.91558,0.9477,0.98958,0.96879,0.71973,1.01709,0.50954,1.11987,0.000138903,0.000138903,0.000138903
103,4030.74,0.60246,0.3588,0.90929,0.9477,0.98958,0.96879,0.71973,1.01709,0.50954,1.11987,0.000132031,0.000132031,0.000132031
104,4070.15,0.61046,0.36421,0.87252,0.9477,0.98958,0.96879,0.71973,1.01709,0.50954,1.11987,0.000125158,0.000125158,0.000125158
105,4109.26,0.64709,0.38841,0.91518,0.9477,0.98958,0.96879,0.71973,1.01709,0.50954,1.11987,0.000118286,0.000118286,0.000118286
106,4148.46,0.58552,0.39919,0.92271,0.94815,0.98958,0.96879,0.72042,1.00487,0.4943,1.10653,0.000111414,0.000111414,0.000111414
107,4187.34,0.57136,0.38134,0.94797,0.94815,0.98958,0.96879,0.72042,1.00487,0.4943,1.10653,0.000104542,0.000104542,0.000104542
